username,title,location,ID de la respuesta,Pregunta,Respuesta,Respuesta Correcta,block_key,state
UsuarioPruebaCMMEDU,Checkboxes,Taller 1: Reconociendo Patrones > Actividad 1: Patrones en la calle > Patrones en la calle #1 > Checkboxes,393df93e342e416fbb0c73bb1fecd78c_2_1,Pregunta 1,"a) Siempre después de un corazón viene un círculo., b) Los colores amarillo y verde se presentan alternados en las figuras., c) Siempre antes de una estrella amarilla hay un círculo verde.","a) Siempre después de un corazón viene un círculo., b) Los colores amarillo y verde se presentan alternados en las figuras., c) Siempre antes de una estrella amarilla hay un círculo verde.",block-v1:cmm+SYSELEARDPAPIL01+2020_1+type@problem+block@393df93e342e416fbb0c73bb1fecd78c,"{""correct_map"": {""393df93e342e416fbb0c73bb1fecd78c_2_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""msg"": """", ""answervariable"": null, ""npoints"": null, ""queuestate"": null}}, ""input_state"": {""393df93e342e416fbb0c73bb1fecd78c_2_1"": {}}, ""last_submission_time"": ""2020-04-24T16:08:23Z"", ""attempts"": 1, ""score"": {""raw_earned"": 1, ""raw_possible"": 1}, ""done"": true, ""student_answers"": {""393df93e342e416fbb0c73bb1fecd78c_2_1"": [""choice_0"", ""choice_1"", ""choice_2""]}, ""seed"": 1}"
BeckyRC,Checkboxes,Taller 1: Reconociendo Patrones > Actividad 1: Patrones en la calle > Patrones en la calle #1 > Checkboxes,,,,,block-v1:cmm+SYSELEARDPAPIL01+2020_1+type@problem+block@393df93e342e416fbb0c73bb1fecd78c,"{""score"": {""raw_earned"": 0, ""raw_possible"": 1}, ""seed"": 1, ""input_state"": {""393df93e342e416fbb0c73bb1fecd78c_2_1"": {}}}"
Maria_Angelica,Checkboxes,Taller 1: Reconociendo Patrones > Actividad 1: Patrones en la calle > Patrones en la calle #1 > Checkboxes,393df93e342e416fbb0c73bb1fecd78c_2_1,Pregunta 1,"a) Siempre después de un corazón viene un círculo., b) Los colores amarillo y verde se presentan alternados en las figuras., c) Siempre antes de una estrella amarilla hay un círculo verde.","a) Siempre después de un corazón viene un círculo., b) Los colores amarillo y verde se presentan alternados en las figuras., c) Siempre antes de una estrella amarilla hay un círculo verde.",block-v1:cmm+SYSELEARDPAPIL01+2020_1+type@problem+block@393df93e342e416fbb0c73bb1fecd78c,"{""correct_map"": {""393df93e342e416fbb0c73bb1fecd78c_2_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""msg"": """", ""answervariable"": null, ""npoints"": null, ""queuestate"": null}}, ""input_state"": {""393df93e342e416fbb0c73bb1fecd78c_2_1"": {}}, ""last_submission_time"": ""2020-04-16T15:01:23Z"", ""attempts"": 1, ""score"": {""raw_earned"": 1, ""raw_possible"": 1}, ""done"": true, ""student_answers"": {""393df93e342e416fbb0c73bb1fecd78c_2_1"": [""choice_0"", ""choice_1"", ""choice_2""]}, ""seed"": 1}"
b_alvarez,Checkboxes,Taller 1: Reconociendo Patrones > Actividad 1: Patrones en la calle > Patrones en la calle #1 > Checkboxes,393df93e342e416fbb0c73bb1fecd78c_2_1,Pregunta 1,"a) Siempre después de un corazón viene un círculo., b) Los colores amarillo y verde se presentan alternados en las figuras., c) Siempre antes de una estrella amarilla hay un círculo verde.","a) Siempre después de un corazón viene un círculo., b) Los colores amarillo y verde se presentan alternados en las figuras., c) Siempre antes de una estrella amarilla hay un círculo verde.",block-v1:cmm+SYSELEARDPAPIL01+2020_1+type@problem+block@393df93e342e416fbb0c73bb1fecd78c,"{""correct_map"": {""393df93e342e416fbb0c73bb1fecd78c_2_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""msg"": """", ""answervariable"": null, ""npoints"": null, ""queuestate"": null}}, ""input_state"": {""393df93e342e416fbb0c73bb1fecd78c_2_1"": {}}, ""last_submission_time"": ""2020-04-16T23:39:27Z"", ""attempts"": 1, ""score"": {""raw_earned"": 1, ""raw_possible"": 1}, ""done"": true, ""student_answers"": {""393df93e342e416fbb0c73bb1fecd78c_2_1"": [""choice_0"", ""choice_1"", ""choice_2""]}, ""seed"": 1}"
alicia,Checkboxes,Taller 1: Reconociendo Patrones > Actividad 1: Patrones en la calle > Patrones en la calle #1 > Checkboxes,393df93e342e416fbb0c73bb1fecd78c_2_1,Pregunta 1,"a) Siempre después de un corazón viene un círculo., b) Los colores amarillo y verde se presentan alternados en las figuras., c) Siempre antes de una estrella amarilla hay un círculo verde.","a) Siempre después de un corazón viene un círculo., b) Los colores amarillo y verde se presentan alternados en las figuras., c) Siempre antes de una estrella amarilla hay un círculo verde.",block-v1:cmm+SYSELEARDPAPIL01+2020_1+type@problem+block@393df93e342e416fbb0c73bb1fecd78c,"{""correct_map"": {""393df93e342e416fbb0c73bb1fecd78c_2_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""msg"": """", ""answervariable"": null, ""npoints"": null, ""queuestate"": null}}, ""input_state"": {""393df93e342e416fbb0c73bb1fecd78c_2_1"": {}}, ""last_submission_time"": ""2020-04-20T19:19:03Z"", ""attempts"": 1, ""score"": {""raw_earned"": 1, ""raw_possible"": 1}, ""done"": true, ""student_answers"": {""393df93e342e416fbb0c73bb1fecd78c_2_1"": [""choice_0"", ""choice_1"", ""choice_2""]}, ""seed"": 1}"
JACT,Checkboxes,Taller 1: Reconociendo Patrones > Actividad 1: Patrones en la calle > Patrones en la calle #1 > Checkboxes,393df93e342e416fbb0c73bb1fecd78c_2_1,Pregunta 1,"a) Siempre después de un corazón viene un círculo., b) Los colores amarillo y verde se presentan alternados en las figuras., c) Siempre antes de una estrella amarilla hay un círculo verde.","a) Siempre después de un corazón viene un círculo., b) Los colores amarillo y verde se presentan alternados en las figuras., c) Siempre antes de una estrella amarilla hay un círculo verde.",block-v1:cmm+SYSELEARDPAPIL01+2020_1+type@problem+block@393df93e342e416fbb0c73bb1fecd78c,"{""correct_map"": {""393df93e342e416fbb0c73bb1fecd78c_2_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""msg"": """", ""answervariable"": null, ""npoints"": null, ""queuestate"": null}}, ""input_state"": {""393df93e342e416fbb0c73bb1fecd78c_2_1"": {}}, ""last_submission_time"": ""2020-04-22T21:07:58Z"", ""attempts"": 2, ""score"": {""raw_earned"": 1, ""raw_possible"": 1}, ""done"": true, ""student_answers"": {""393df93e342e416fbb0c73bb1fecd78c_2_1"": [""choice_0"", ""choice_1"", ""choice_2""]}, ""seed"": 1}"
Jennifer_Escalona,Checkboxes,Taller 1: Reconociendo Patrones > Actividad 1: Patrones en la calle > Patrones en la calle #1 > Checkboxes,393df93e342e416fbb0c73bb1fecd78c_2_1,Pregunta 1,"a) Siempre después de un corazón viene un círculo., b) Los colores amarillo y verde se presentan alternados en las figuras., c) Siempre antes de una estrella amarilla hay un círculo verde.","a) Siempre después de un corazón viene un círculo., b) Los colores amarillo y verde se presentan alternados en las figuras., c) Siempre antes de una estrella amarilla hay un círculo verde.",block-v1:cmm+SYSELEARDPAPIL01+2020_1+type@problem+block@393df93e342e416fbb0c73bb1fecd78c,"{""correct_map"": {""393df93e342e416fbb0c73bb1fecd78c_2_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""msg"": """", ""answervariable"": null, ""npoints"": null, ""queuestate"": null}}, ""input_state"": {""393df93e342e416fbb0c73bb1fecd78c_2_1"": {}}, ""last_submission_time"": ""2020-04-20T18:28:22Z"", ""attempts"": 1, ""score"": {""raw_earned"": 1, ""raw_possible"": 1}, ""done"": true, ""student_answers"": {""393df93e342e416fbb0c73bb1fecd78c_2_1"": [""choice_0"", ""choice_1"", ""choice_2""]}, ""seed"": 1}"
Alfonso,Checkboxes,Taller 1: Reconociendo Patrones > Actividad 1: Patrones en la calle > Patrones en la calle #1 > Checkboxes,393df93e342e416fbb0c73bb1fecd78c_2_1,Pregunta 1,"a) Siempre después de un corazón viene un círculo., b) Los colores amarillo y verde se presentan alternados en las figuras., c) Siempre antes de una estrella amarilla hay un círculo verde.","a) Siempre después de un corazón viene un círculo., b) Los colores amarillo y verde se presentan alternados en las figuras., c) Siempre antes de una estrella amarilla hay un círculo verde.",block-v1:cmm+SYSELEARDPAPIL01+2020_1+type@problem+block@393df93e342e416fbb0c73bb1fecd78c,"{""correct_map"": {""393df93e342e416fbb0c73bb1fecd78c_2_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""msg"": """", ""answervariable"": null, ""npoints"": null, ""queuestate"": null}}, ""input_state"": {""393df93e342e416fbb0c73bb1fecd78c_2_1"": {}}, ""last_submission_time"": ""2020-04-20T14:57:11Z"", ""attempts"": 2, ""score"": {""raw_earned"": 1, ""raw_possible"": 1}, ""done"": true, ""student_answers"": {""393df93e342e416fbb0c73bb1fecd78c_2_1"": [""choice_0"", ""choice_1"", ""choice_2""]}, ""seed"": 1}"
BELEN_OSORIO,Checkboxes,Taller 1: Reconociendo Patrones > Actividad 1: Patrones en la calle > Patrones en la calle #1 > Checkboxes,393df93e342e416fbb0c73bb1fecd78c_2_1,Pregunta 1,"a) Siempre después de un corazón viene un círculo., b) Los colores amarillo y verde se presentan alternados en las figuras., c) Siempre antes de una estrella amarilla hay un círculo verde.","a) Siempre después de un corazón viene un círculo., b) Los colores amarillo y verde se presentan alternados en las figuras., c) Siempre antes de una estrella amarilla hay un círculo verde.",block-v1:cmm+SYSELEARDPAPIL01+2020_1+type@problem+block@393df93e342e416fbb0c73bb1fecd78c,"{""score"": {""raw_earned"": 1, ""raw_possible"": 1}, ""correct_map"": {""393df93e342e416fbb0c73bb1fecd78c_2_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""msg"": """", ""answervariable"": null, ""npoints"": null, ""queuestate"": null}}, ""input_state"": {""393df93e342e416fbb0c73bb1fecd78c_2_1"": {}}, ""last_submission_time"": ""2020-04-17T20:11:21Z"", ""attempts"": 2, ""seed"": 1, ""done"": true, ""student_answers"": {""393df93e342e416fbb0c73bb1fecd78c_2_1"": [""choice_0"", ""choice_1"", ""choice_2""]}}"
margotbriones,Checkboxes,Taller 1: Reconociendo Patrones > Actividad 1: Patrones en la calle > Patrones en la calle #1 > Checkboxes,393df93e342e416fbb0c73bb1fecd78c_2_1,Pregunta 1,"a) Siempre después de un corazón viene un círculo., b) Los colores amarillo y verde se presentan alternados en las figuras., c) Siempre antes de una estrella amarilla hay un círculo verde.","a) Siempre después de un corazón viene un círculo., b) Los colores amarillo y verde se presentan alternados en las figuras., c) Siempre antes de una estrella amarilla hay un círculo verde.",block-v1:cmm+SYSELEARDPAPIL01+2020_1+type@problem+block@393df93e342e416fbb0c73bb1fecd78c,"{""correct_map"": {""393df93e342e416fbb0c73bb1fecd78c_2_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""msg"": """", ""answervariable"": null, ""npoints"": null, ""queuestate"": null}}, ""input_state"": {""393df93e342e416fbb0c73bb1fecd78c_2_1"": {}}, ""last_submission_time"": ""2020-04-17T20:53:14Z"", ""attempts"": 1, ""score"": {""raw_earned"": 1, ""raw_possible"": 1}, ""done"": true, ""student_answers"": {""393df93e342e416fbb0c73bb1fecd78c_2_1"": [""choice_0"", ""choice_1"", ""choice_2""]}, ""seed"": 1}"
